Name, Gender, Price, Sale Price, Colors, Item link, Image link, Sub category, Brand
Alpha SV Jacket Men's, Men, $950.00, $N/A, Soulsonic || Stratosphere || Glade || Dynasty || 24K Black ||  || , https://arcteryx.com/ca/en/shop/mens/alpha-sv-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-SV-Jacket-Glade.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Rush Jacket Men's, Men, $900.00, $N/A, Phoenix || Alchemist || Glade Runner || Deep Sea Disco || Galactic Halo ||  || , https://arcteryx.com/ca/en/shop/mens/rush-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rush-Jacket-Galactic-Halo.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Sabre LT Jacket Men's, Men, $770.00, $N/A, Backlit || Phoenix || Gnarnia Glades || Battlestorm ||  || , https://arcteryx.com/ca/en/shop/mens/sabre-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabre-LT-Jacket-Phoenix.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Sabre AR Jacket Men's, Men, $800.00, $N/A, Soulsonic || Rhapsody || Galactica || Elytron || 24K Black ||  || , https://arcteryx.com/ca/en/shop/mens/sabre-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sabre-AR-Jacket-Soulsonic.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Cassiar Jacket Men's, Men, $900.00, $N/A, Black || Paradox || Dynasty ||  || , https://arcteryx.com/ca/en/shop/mens/cassiar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cassiar-Jacket-Dynasty.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Alpha AR Jacket Men's, Men, $750.00, $N/A, Quantum || Glade || Meteor || Dynasty ||  || , https://arcteryx.com/ca/en/shop/mens/alpha-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-AR-Jacket-Meteor.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Alpha FL Jacket Men's, Men, $600.00, $N/A, Glade || Meteor ||  || , https://arcteryx.com/ca/en/shop/mens/alpha-fl-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-FL-Jacket-Meteor.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Beta AR Jacket Men's, Men, $750.00, $N/A, Black || Paradox || Rhapsody || Kingfisher || Glade || Dynasty ||  || , https://arcteryx.com/ca/en/shop/mens/beta-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-AR-Jacket-Rhapsody.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Beta SV Jacket Men's, Men, $850.00, $N/A, Kingfisher || Elytron || Dynasty ||  || , https://arcteryx.com/ca/en/shop/mens/beta-sv-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-SV-Jacket-Dynasty.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Zeta AR Jacket Men's, Men, $600.00, $N/A, Paradox || Rhapsody || Black II || Cobalt Sun ||  || , https://arcteryx.com/ca/en/shop/mens/zeta-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Zeta-AR-Jacket-Cobalt-Sun.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
