Name, Gender, Price, Sale Price, Colors, Item link, Image link, Sub category, Brand
Sentinel AR Jacket Women's, Women, $800.00, $N/A, Enigma || Ultralush || Zephyr || Quantum || Dark Inertia ||  || , https://arcteryx.com/ca/en/shop/womens/sentinel-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sentinel-AR-Jacket-W-Zephyr.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Sentinel LT Jacket Women's, Women, $770.00, $N/A, Enigma || Anti-Gravity || Dark Magic || Golden Hour || , https://arcteryx.com/ca/en/shop/womens/sentinel-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sentinel-LT-Jacket-W-Golden-Hour.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Ravenna Jacket Women's, Women, $850.00, $N/A, Black || Zephyr || Dark Inertia ||  || , https://arcteryx.com/ca/en/shop/womens/ravenna-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Ravenna-Jacket-W-Dark-Inertia.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Mistaya Coat Women's, Women, $650.00, $N/A, Black || Aeroponic ||  || , https://arcteryx.com/ca/en/shop/womens/mistaya-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Mistaya-Coat-W-Aeroponic.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Andra Coat Women's, Women, $600.00, $N/A, Inertia || Black || Symbiome || Synapse ||  || , https://arcteryx.com/ca/en/shop/womens/andra-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Andra-Coat-W-Synapse.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Codetta Coat Women's, Women, $500.00, $N/A, Jute || Black || Cobalt Moon || Inspire ||  || , https://arcteryx.com/ca/en/shop/womens/codetta-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Codetta-Coat-W-Jute.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Venda Anorak Women's, Women, $470.00, $N/A, Black || Exosphere || Zenith || , https://arcteryx.com/ca/en/shop/womens/venda-anorak#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Venda-Anorak-W-Exosphere.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Alpha SV Jacket Women's, Women, $950.00, $N/A, Portal || Cobalt Moon || Dynasty ||  || , https://arcteryx.com/ca/en/shop/womens/alpha-sv-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-SV-Jacket-W-Cobalt-Moon.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Alpha AR Jacket Women's, Women, $750.00, $N/A, Paradox || Rhapsody || Dynasty ||  || , https://arcteryx.com/ca/en/shop/womens/alpha-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Alpha-AR-Jacket-W-Paradox.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Beta SV Jacket Women's, Women, $850.00, $N/A, Black || Sundance || Ellipse ||  || , https://arcteryx.com/ca/en/shop/womens/beta-sv-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-SV-Jacket-W-Ellipse.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Beta AR Jacket Women's, Women, $750.00, $N/A, Enigma || Momentum || Black || Helix || Kingfisher || Dynasty ||  || , https://arcteryx.com/ca/en/shop/womens/beta-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-AR-Jacket-W-Kingfisher.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Gamma MX Hoody Women's, Women, $400.00, $N/A, Cobalt Moon || Zephyr || Rhapsody || Sundance || , https://arcteryx.com/ca/en/shop/womens/gamma-mx-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gamma-MX-Hoody-W-Zephyr.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Zeta LT Jacket Women's, Women, $550.00, $N/A, Dakini || Antenna || Labyrinth ||  || , https://arcteryx.com/ca/en/shop/womens/zeta-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Zeta-LT-Jacket-W-Antenna.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Zeta AR Jacket Women's, Women, $600.00, $N/A, Momentum || Black || Sundance || Ellipse ||  || , https://arcteryx.com/ca/en/shop/womens/zeta-ar-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Zeta-AR-Jacket-W-Sundance.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Norvan SL Hoody Women's, Women, $440.00, $N/A, Black/Bioprism || Black/Robotica ||  || , https://arcteryx.com/ca/en/shop/womens/norvan-sl-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Norvan-SL-Hoody-W-Black-Bioprism.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Beta SL Hybrid Jacket Women's, Women, $500.00, $N/A, Black || Portal || Cobalt Moon || Rhapsody || Ellipse ||  || , https://arcteryx.com/ca/en/shop/womens/beta-sl-hybrid-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Beta-SL-Hybrid-Jacket-W-Portal.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
